epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1115,1.86291,0.27107,1.15291,0.64904,0.79154,0.75645,0.42368,1.98742,0.29448,1.42856,0,0,0
2,47.9429,1.71496,0.2683,1.13706,0.66654,0.77945,0.75551,0.42614,1.97027,0.29164,1.41892,1.21972e-05,1.21972e-05,1.21972e-05
3,66.13,1.7523,0.26493,1.11963,0.73679,0.69608,0.76149,0.43456,1.96039,0.28701,1.41596,2.26366e-05,2.26366e-05,2.26366e-05
4,85.31,2.21892,0.43378,1.26117,0.71344,0.70596,0.74788,0.43056,1.95115,0.28501,1.4077,2.98483e-05,2.98483e-05,2.98483e-05
5,102.591,1.92257,0.36456,1.2251,0.7552,0.68845,0.74883,0.42122,1.93915,0.28889,1.40174,3.28982e-05,3.28982e-05,3.28982e-05
6,119.11,1.86214,0.34842,1.1799,0.70092,0.66461,0.69362,0.4045,1.93978,0.30362,1.40464,3.15625e-05,3.15625e-05,3.15625e-05
