epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0625,1.08847,5.97158,1.04181,0.65565,0.63377,0.69403,0.35844,1.61879,13.4661,1.54623,0,0,0
2,51.1904,1.73162,13.6737,1.3203,0.70275,0.65943,0.72867,0.36444,1.61511,13.0759,1.54439,1.21972e-05,1.21972e-05,1.21972e-05
3,64.8401,1.80293,14.678,1.40613,0.69733,0.64394,0.73227,0.37019,1.59346,12.8243,1.53468,2.26366e-05,2.26366e-05,2.26366e-05
4,78.5303,1.38485,8.65083,1.15167,0.71632,0.62392,0.73648,0.38595,1.5844,12.3405,1.50783,2.98483e-05,2.98483e-05,2.98483e-05
5,92.9941,1.45994,10.6873,1.18239,0.61676,0.74825,0.7398,0.38996,1.55498,12.1386,1.47328,3.28982e-05,3.28982e-05,3.28982e-05
6,107.895,1.34988,7.78032,1.13837,0.66016,0.70396,0.71816,0.38306,1.54609,12.1922,1.44882,3.15625e-05,3.15625e-05,3.15625e-05
7,123.173,1.21605,6.1698,1.06701,0.6523,0.69376,0.70435,0.37914,1.55779,12.1807,1.44398,2.64027e-05,2.64027e-05,2.64027e-05
