epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2494,0.37211,5.13608,0.99346,0.6949,0.74092,0.76374,0.41025,0.61455,11.0282,1.45617,0,0,0
2,39.6908,0.54366,9.99482,1.12897,0.67059,0.72358,0.73985,0.41069,0.61632,10.9994,1.46262,1.21972e-05,1.21972e-05,1.21972e-05
3,54.8261,0.60118,11.438,1.21497,0.67139,0.73092,0.74244,0.41094,0.62163,11.0205,1.46911,2.26366e-05,2.26366e-05,2.26366e-05
